# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
chu 	出	c=28 d=1.19275 t=29608
chu bei jing 	出北京	c=2 d=1.98511 t=14976
chu bu 	初步	c=1 d=1 t=27564
chu bu lai 	出不來	c=1 d=1 t=28642
chu cuo 	出錯	c=1 d=1 t=18231
chu cuo le 	出錯了	c=1 d=1 t=31464
chu fa 	出發	c=2 d=1.00205 t=13216
chu fa 	觸發	c=1 d=1 t=7677
chu fang an 	出方案	c=2 d=1 t=26283
chu gao 	初稿	c=1 d=1 t=5739
chu ge 	出個	c=1 d=0.100154 t=30054
chu ge shu 	出個數	c=1 d=1 t=30055
chu han 	出汗	c=1 d=1 t=17345
chu ji 	初級	c=0 d=0.1 t=10707
chu ji gong cheng shi 	初級工程師	c=1 d=1 t=10708
chu jia zhi 	出價值	c=1 d=1 t=1873
chu kou 	出口	c=2 d=1 t=16515
chu ku 	出庫	c=1 d=1.00122 t=3605
chu ku dan 	出庫單	c=38 d=2.26303 t=27113
chu lai 	出來	c=45 d=1.05779 t=30690
chu lai le 	出來了	c=2 d=1 t=22216
chu lai mei 	出來沒	c=1 d=1 t=15352
chu le 	出了	c=3 d=1.00203 t=6976
chu le 	除了	c=8 d=1 t=23374
chu li 	處理	c=36 d=4.09115 t=31405
chu li le 	處理了	c=1 d=1 t=27504
chu li ren 	處理人	c=1 d=1 t=29826
chu men 	出門	c=3 d=1 t=13208
chu qu 	出去	c=6 d=1.69078 t=19567
chu sheng 	出聲	c=1 d=1 t=9846
chu shi 	初始	c=1 d=1 t=13673
chu shi hua 	初始化	c=2 d=1 t=31380
chu shi zhi 	初始值	c=1 d=1 t=6688
chu wen ti 	出問題	c=2 d=1 t=28056
chu xian 	出現	c=8 d=1.06817 t=24289
chu ye ji 	出業績	c=1 d=1 t=18944
chu yi ge 	出一個	c=1 d=1 t=26163
chu yi ge ren 	出一個人	c=1 d=1 t=21499
chu zu che 	出租車	c=1 d=1 t=14110
chuan 	串	c=1 d=1 t=20650
chuan 	傳	c=4 d=1.00001 t=14648
chuan chuan 	串串	c=2 d=1.16948 t=15984
chuan de 	傳得	c=1 d=1 t=9335
chuan di 	傳遞	c=1 d=1 t=6002
chuan gei 	傳給	c=2 d=1.00176 t=15944
chuan guo lai 	傳過來	c=1 d=1 t=16598
chuan guo qu 	傳過去	c=2 d=1 t=15950
chuan ran bing 	傳染病	c=1 d=1 t=24999
chuan tong 	傳統	c=1 d=1 t=27948
chuan xing 	串行	c=1 d=1 t=29319
chuang dan 	牀單	c=1 d=1 t=8692
chuang jian 	創建	c=13 d=1.27593 t=28092
chuang jian ren 	創建人	c=2 d=1.98511 t=30390
chuang kou 	窗口	c=3 d=1 t=8784
chuang shang 	牀上	c=1 d=1 t=28905
chuang zao li 	創造力	c=2 d=1.83527 t=18263
chui 	吹	c=1 d=1 t=20210
chun xiang 	春翔	c=1 d=0.1 t=28872
chun yan 	春燕	c=1 d=0.1 t=25668
chuo san 	戳三	c=1 d=1 t=11703
ci 	次	c=7 d=1 t=24404
ci 	此	c=2 d=1 t=24405
ci dian 	詞典	c=3 d=1.91404 t=237
ci ji 	刺激	c=1 d=1 t=21218
ci ku 	詞庫	c=4 d=1 t=31512
ci mi jie 	次密接	c=1 d=1 t=2996
ci pan 	磁盤	c=3 d=1 t=27988
ci pin 	詞頻	c=1 d=1 t=42
ci shi 	此事	c=1 d=1 t=9165
ci shu 	次數	c=9 d=2.49744 t=29781
cong 	從	c=39 d=1.92451 t=30112
cong gong si 	從公司	c=1 d=1 t=18941
cong lai 	從來	c=1 d=1 t=3141
cong na 	從哪	c=2 d=1 t=12527
cong nian hou 	從年後	c=1 d=1 t=27528
cong qian 	從前	c=1 d=1 t=1220
cong tou 	從頭	c=1 d=1 t=20356
cui 	催	c=1 d=1 t=30361
cun 	存	c=4 d=1.00052 t=20642
cun xia 	存下	c=0 d=0.1 t=4944
cun xia lai 	存下來	c=1 d=1 t=4945
cun zai 	存在	c=3 d=1.13738 t=20584
cuo 	錯	c=1 d=1 t=12524
cuo le 	錯了	c=2 d=1 t=19926
cuo wu 	錯誤	c=10 d=1 t=23727
da 	噠	c=1 d=1 t=7884
da 	大	c=14 d=1.45417 t=28569
da 	打	c=67 d=2.15749 t=30461
da 	搭	c=3 d=1.00001 t=13111
da 	答	c=1 d=1 t=31217
da ba 	大巴	c=1 d=1 t=12576
da ba 	打吧	c=3 d=1.98511 t=20085
da ban tian 	大半天	c=1 d=1 t=13029
da bao 	打包	c=5 d=1 t=26527
da bu 	打不	c=0 d=0.1 t=22292
da bu fen 	大部分	c=1 d=1 t=20781
da bu liao 	打不了	c=3 d=1 t=27179
da bu zhun 	打不準	c=1 d=1 t=27300
da can 	大餐	c=1 d=1 t=22983
da cheng 	達成	c=2 d=1.00423 t=24608
da chu lai 	打出來	c=20 d=1.90484 t=27224
da cuo le 	打錯了	c=1 d=1 t=22618
da dan 	大膽	c=1 d=1 t=14286
da dan 	打單	c=6 d=5.92568 t=20921
da dao 	打到	c=1 d=1 t=24817
da dao 	達到	c=4 d=1.19301 t=28752
da dao le 	達到了	c=1 d=1 t=28353
da de 	大的	c=1 d=1 t=3862
da de 	打得	c=1 d=1 t=528
da dian hua 	打電話	c=1 d=1 t=20243
da duan 	打斷	c=3 d=1 t=14948
da duan le 	打斷了	c=1 d=1 t=11196
da fen 	打分	c=2 d=1 t=26357
da fu 	大幅	c=1 d=1 t=3718
da gai lv 	打概率	c=2 d=1 t=28568
da gang 	大綱	c=4 d=1.00001 t=24337
da ge 	打個	c=2 d=1 t=19935
da ge bao 	打個包	c=3 d=1 t=24425
da ge dian hua 	打個電話	c=2 d=1 t=29884
da gu tou 	打骨頭	c=1 d=1 t=27461
da he suan 	打核酸	c=1 d=1 t=27483
da hui yi shi 	大會議室	c=2 d=1 t=24043
da ji da li 	大吉大利	c=1 d=1 t=30067
da jia 	大家	c=16 d=1 t=31455
da jian 	搭建	c=3 d=1 t=21423
da jie 	大姐	c=1 d=1 t=1129
da jie jie 	大姐姐	c=1 d=1 t=29047
da kai 	打開	c=11 d=2.42543 t=29831
da kai le 	打開了	c=1 d=1 t=18787
da keng 	大坑	c=1 d=1 t=24812
da le 	打了	c=18 d=1 t=28515
da le ma 	打了嗎	c=4 d=1.04713 t=20337
da le mei 	打了沒	c=1 d=1 t=15838
da lei 	大類	c=6 d=2.64309 t=5487
da lian 	大連	c=3 d=1 t=29460
da luan 	打亂	c=2 d=1.19109 t=23242
da mei da 	打沒打	c=1 d=1 t=17539
da mi 	大米	c=1 d=1 t=1688
da pi 	大批	c=1 d=1 t=6397
da ping 	大屏	c=1 d=1 t=1008
da shang lai 	打上來	c=2 d=1 t=31215
da sheng zhang 	打勝仗	c=1 d=1 t=18204
da wan 	打完	c=4 d=2.74011 t=23813
da wan le 	打完了	c=1 d=1 t=17573
da xiao 	大小	c=12 d=1.96079 t=24367
da xie 	大寫	c=4 d=2.17445 t=24739
da xu qiu 	打需求	c=1 d=1 t=26214
da yan 	大雁	c=1 d=1 t=15805
da yi ci 	打一次	c=2 d=1 t=23776
da yi dian 	大一點	c=1 d=1 t=31181
da yi xia 	打一下	c=5 d=1.1523 t=19915
da yin 	打印	c=325 d=4.26599 t=31393
da yin fang xiang 	打印方向	c=1 d=1 t=14737
da yin hou 	打印後	c=1 d=1 t=23603
da yin ji 	打印機	c=91 d=2.59588 t=29379
da yin ji ming 	打印機名	c=1 d=1 t=24745
da yin shi 	打印時	c=1 d=1 t=5837
da yin shou xuan xiang 	打印首選想	c=1 d=1 t=20382
da yin shu 	打印數	c=1 d=1 t=29973
da yin xi tong 	打印系統	c=3 d=1 t=27422
da ying 	答應	c=1 d=1 t=4011
da zhang 	大漲	c=1 d=1 t=16825
da zhi 	大致	c=7 d=1.003 t=30830
da zhuan 	大專	c=1 d=1 t=22947
dai 	帶	c=0 d=0.1 t=5558
dai 	待	c=1 d=1 t=3053
dai 	戴	c=0 d=0.1 t=29876
dai biao 	代表	c=3 d=1 t=27259
dai dong 	帶動	c=1 d=1 t=1942
dai fu 	大夫	c=3 d=1.81465 t=25016
dai guo qu 	帶過去	c=1 d=1 t=21210
dai hao 	帶好	c=1 d=0.1 t=13308
dai hao le 	帶好了	c=1 d=1 t=13309
dai lai 	帶來	c=3 d=1 t=24586
dai le 	待了	c=2 d=1 t=31176
dai li 	代理	c=7 d=1.03549 t=30085
dai ling 	帶領	c=1 d=1 t=24218
dai ma 	代碼	c=69 d=2.15934 t=31453
dai ma li 	代碼裏	c=2 d=1 t=30909
dai ma liang 	代碼量	c=6 d=1.00533 t=29804
dai shang 	帶上	c=1 d=1 t=10883
dai shou tao 	戴手套	c=1 d=1 t=29877
dai yi ge 	帶一個	c=3 d=1 t=19680
dai yi ge ren 	帶一個人	c=1 d=1 t=2548
dan 	單	c=17 d=1.00004 t=31386
dan dang 	擔當	c=1 d=1 t=1925
dan du 	單獨	c=7 d=1 t=28399
dan du ba 	單獨吧	c=1 d=1 t=22505
dan du liao 	單獨聊	c=1 d=1 t=14433
dan gao 	蛋糕	c=1 d=1 t=30451
dan hao 	單號	c=25 d=1.97097 t=28747
dan ju 	單據	c=5 d=1 t=27373
dan shi 	但是	c=60 d=1.00116 t=29875
dan ta 	蛋撻	c=1 d=1 t=12680
dan wei 	單位	c=17 d=2.87617 t=26784
dan wu 	耽誤	c=1 d=1 t=29143
dan xin 	擔心	c=4 d=1 t=18152
dan yuan 	單元	c=2 d=1.85214 t=26391
dan yuan ge 	單元格	c=2 d=1.05313 t=14904
dan yue 	單約	c=1 d=1 t=24479
dan zi 	單子	c=28 d=1 t=30992
dang 	檔	c=2 d=1.94649 t=26220
dang ge 	當個	c=1 d=1 t=4574
dang qian 	當前	c=6 d=1.25666 t=30199
dang ran 	當然	c=2 d=0.1 t=13211
dang ran le 	當然了	c=1 d=1 t=13212
dang shi 	當時	c=14 d=1 t=30107
dang tian 	當天	c=4 d=1 t=18107
dang wo 	當我	c=1 d=1 t=9730
dao 	刀	c=1 d=1 t=8639
dao 	到	c=102 d=1.04244 t=31358
dao 	導	c=3 d=1.92774 t=25206
dao bu 	到不	c=1 d=1 t=26300
dao chu 	導出	c=7 d=1 t=31510
dao chu lai 	導出來	c=1 d=1 t=24721
dao di 	到底	c=1 d=1 t=22578
dao dian 	到點	c=1 d=1 t=18099
dao hou 	到後	c=1 d=1 t=1221
dao ji shi 	倒計時	c=1 d=1 t=31004
dao jia 	到家	c=4 d=1 t=30440
dao le 	到了	c=5 d=1 t=24458
dao le ma 	到了嗎	c=1 d=1 t=13282
dao mei 	倒霉	c=1 d=1 t=5923
dao mei dao 	到沒到	c=1 d=1 t=6509
dao na 	到哪	c=0 d=0.1 t=6902
dao na le 	到哪了	c=1 d=1 t=6903
dao qi 	到期	c=2 d=1.99005 t=5904
dao ru 	導入	c=4 d=1.9802 t=25082
dao shang 	島上	c=0 d=0.1 t=30373
dao shi 	倒是	c=3 d=1 t=21611
dao shi hou 	到時候	c=13 d=1.00958 t=21300
dao shi jian 	到時間	c=1 d=1 t=29299
dao tou 	到頭	c=1 d=1 t=6571
dao wo 	到我	c=2 d=1 t=16918
dao zhang 	到賬	c=2 d=1 t=14987
dao zhe li 	到這裏	c=1 d=1 t=24381
dao zhi 	導致	c=1 d=1 t=18337
de 	得	c=37 d=1.03789 t=31105
de 	的	c=1538 d=11.3246 t=31511
de dao 	得到	c=0 d=0.1 t=20537
de hua 	的話	c=2 d=1 t=30907
de ren 	的人	c=0 d=0.1 t=4335
de shi 	的事	c=2 d=0.208609 t=29591
de shuo 	地說	c=0 d=0.1 t=7935
deng 	燈	c=2 d=1.05901 t=26268
deng 	登	c=2 d=1 t=19369
deng 	等	c=12 d=1.00235 t=29291
deng dai 	等待	c=1 d=1 t=4031
deng dao 	等到	c=1 d=1 t=25336
deng deng 	等等	c=3 d=1 t=28766
deng hui er 	等會兒	c=2 d=1 t=16993
deng ji 	等級	c=1 d=1 t=28085
deng lu 	登錄	c=18 d=0.1 t=29415
deng lu chang 	登陸場	c=1 d=1 t=18501
deng ni 	等你	c=1 d=1 t=10220
deng shang 	登上	c=1 d=1 t=15837
deng wan shang 	等晚上	c=1 d=1 t=1484
deng wo 	等我	c=5 d=1 t=15925
deng xia 	等下	c=3 d=1 t=15914
deng yi xia 	等一下	c=2 d=1 t=24765
deng yu 	等於	c=1 d=1 t=16133
di 	低	c=6 d=1 t=30884
di 	底	c=1 d=1 t=6870
di ban ben 	低版本	c=3 d=2.6581 t=3070
di ceng 	底層	c=1 d=1 t=9742
di da 	抵達	c=0 d=0.1 t=5929
di di 	滴滴	c=1 d=1 t=14260
di dian 	地點	c=3 d=1 t=25467
di er 	第二	c=0 d=0.1 t=16206
di er dan 	第二單	c=1 d=1 t=16207
di er ge 	第二個	c=1 d=0.167881 t=27608
di er ge qun 	第二個羣	c=1 d=1 t=27609
di er tian 	第二天	c=1 d=1 t=29020
di fang 	地方	c=21 d=2.32866 t=28861
di gui 	遞歸	c=1 d=1 t=21801
di ji 	低級	c=3 d=2.64874 t=18307
di ji cuo wu 	低級錯誤	c=1 d=1 t=18308
di qu 	地區	c=4 d=1 t=24090
di san fang 	第三方	c=3 d=1.00232 t=4871
di xia 	底下	c=1 d=1 t=23329
di yi 	第一	c=1 d=0.1 t=17778
di yi ci 	第一次	c=5 d=1.01515 t=24562
di yi dan 	第一單	c=1 d=1 t=17779
di yi dian 	第一點	c=2 d=1.80252 t=17134
di yi ge 	第一個	c=8 d=1.00024 t=30108
di yi jie 	第一節	c=0 d=0.1 t=24534
di yi jie ke 	第一節課	c=1 d=1 t=24535
di yi qi 	第一期	c=1 d=1 t=24555
di yi tian 	第一天	c=3 d=1.9802 t=29017
di yi ye 	第一頁	c=1 d=1 t=20369
di yi zhang 	第一張	c=1 d=1 t=20355
di zhi 	地址	c=21 d=2.48672 t=23504
di zhi liang 	低質量	c=8 d=6.66112 t=18303
dian 	店	c=0 d=0.1 t=1199
dian 	電	c=1 d=1 t=3403
dian 	點	c=36 d=1.00714 t=30618
dian ba 	點吧	c=1 d=1 t=155
dian ban 	點半	c=1 d=1 t=21913
dian de 	點的	c=1 d=1 t=17119
dian dian 	點點	c=2 d=1.70822 t=212
dian duo 	掂掇	c=0 d=0.1 t=6244
dian ge 	點個	c=1 d=1 t=24341
dian hua 	電話	c=5 d=1.34548 t=24067
dian hua ka 	電話卡	c=1 d=1 t=5936
dian ji 	點擊	c=2 d=1.46301 t=8152
dian jin qu 	點進去	c=1 d=1 t=154
dian kai 	點開	c=1 d=1 t=21285
dian le 	點了	c=5 d=1 t=22305
dian nao 	電腦	c=4 d=1.70822 t=20372
dian shang 	電商	c=2 d=1.21192 t=2621
dian shang lei 	電商類	c=1 d=1 t=2622
dian shi 	電視	c=2 d=1 t=4425
dian ti 	電梯	c=1 d=1 t=24462
dian wai mai 	點外賣	c=1 d=1 t=24962
dian xin 	電信	c=2 d=1.00011 t=7768
dian yi ci 	點一次	c=1 d=1 t=21727
dian yi ge 	點一個	c=1 d=1 t=23903
dian yi xia 	點一下	c=1 d=1 t=9592
dian ying 	電影	c=1 d=1 t=9848
dian zan 	點讚	c=2 d=1.80252 t=24345
dian zhe li 	點這裏	c=1 d=1 t=21206
dian zi 	電子	c=0 d=0.1 t=1818
dian zi cheng 	電子城	c=1 d=1 t=25410
dian zi cheng 	電子稱	c=2 d=1.75201 t=1876
diao 	掉	c=8 d=1.01796 t=27835
diao 	調	c=3 d=1 t=10366
diao bo 	調撥	c=2 d=2.07032 t=30077
diao cha 	調查	c=1 d=1 t=2732
diao dong 	調動	c=2 d=1.956 t=9414
diao du 	調度	c=3 d=1.0476 t=29932
diao le 	掉了	c=1 d=1 t=3561
diao le 	調了	c=1 d=1 t=12744
diao yan 	調研	c=3 d=1.97531 t=21493
diao yong 	調用	c=32 d=1 t=29098
diao yu 	釣魚	c=2 d=1.99501 t=13616
die dai 	迭代	c=11 d=1 t=30943
ding 	定	c=7 d=1.00689 t=28087
ding 	盯	c=1 d=1 t=3108
ding 	訂	c=1 d=1 t=29354
ding 	頂	c=2 d=1 t=28852
ding can 	訂餐	c=12 d=1 t=27447
ding dan 	訂單	c=90 d=1.00044 t=31376
ding dan hao 	訂單號	c=3 d=1 t=22426
ding de 	定的	c=2 d=1 t=27565
ding er 	丁二	c=2 d=1 t=19201
ding fan 	定飯	c=8 d=1 t=30589
ding ge 	定個	c=1 d=1 t=6134
ding ji 	定級	c=2 d=1 t=15830
ding jian 	頂尖	c=0 d=0.1 t=474
ding jian suo 	頂尖所	c=1 d=1 t=475
ding jian zhong 	丁建忠	c=29 d=1.02373 t=31400
ding le 	定了	c=3 d=1 t=24467
ding le ma 	定了嗎	c=1 d=1 t=1501
ding le mei 	定了沒	c=1 d=1 t=21924
ding shang 	訂上	c=1 d=0.1 t=30591
ding shang le 	訂上了	c=1 d=1 t=30592
ding shi 	定時	c=2 d=1 t=18970
ding shi ren wu 	定時任務	c=1 d=1 t=6215
ding wei 	定位	c=21 d=1.00001 t=31224
ding xiang 	定向	c=3 d=2.90771 t=6024
ding xin 	定薪	c=2 d=1 t=26826
ding yi 	定義	c=5 d=1.00023 t=27602
ding yi ding 	頂一頂	c=1 d=1 t=19974
ding zai 	定在	c=1 d=1 t=2200
ding zhu 	盯住	c=1 d=1 t=11617
ding zhu 	頂住	c=0 d=0.1 t=1901
ding zhu le 	頂住了	c=1 d=1 t=1902
diu bao 	丟包	c=1 d=1 t=6547
dong 	動	c=1 d=1 t=3636
dong 	懂	c=1 d=1 t=18599
dong ao hui 	冬奧會	c=1 d=1 t=14887
dong bu dong 	凍不凍	c=1 d=1 t=30556
dong de 	懂得	c=1 d=1 t=9182
dong ge 	棟哥	c=3 d=1.67032 t=24163
dong guo 	動過	c=1 d=1 t=22080
dong huai 	凍壞	c=0 d=0.1 t=8419
dong huai le 	凍壞了	c=1 d=1 t=8420
dong le 	動了	c=2 d=1 t=22059
dong le dong 	動了動	c=1 d=1 t=407
dong sen 	動森	c=1 d=1 t=19625
dong shi 	懂事	c=1 d=1 t=24016
dong tai 	動態	c=3 d=1 t=8624
dong xi 	東西	c=37 d=1 t=30769
dong xi le 	東西了	c=1 d=1 t=6618
dong ye wu 	懂業務	c=1 d=1 t=1396
dou 	抖	c=7 d=3.62883 t=7223
dou 	都	c=95 d=1.42442 t=31205
dou ban 	豆瓣	c=1 d=1 t=12534
dou bao 	豆包	c=1 d=1 t=12710
dou bu 	都不	c=0 d=0.1 t=10218
dou bu chi 	都不喫	c=1 d=1 t=10219
dou bu zai 	都不在	c=1 d=1 t=24008
dou de 	都得	c=3 d=1.00001 t=9696
dou dong 	抖動	c=1 d=1 t=13680
dou hao 	都好	c=1 d=1 t=26538
dou hui 	都會	c=7 d=1 t=28055
dou jiang 	豆漿	c=1 d=1 t=29445
dou kan dao 	都看到	c=1 d=1 t=21639
dou ke yi 	都可以	c=1 d=1 t=20389
dou lai le 	都來了	c=1 d=1 t=18630
dou mei le 	都沒了	c=1 d=1 t=22564
dou neng 	都能	c=3 d=0.1 t=27113
dou neng huan 	都能換	c=1 d=1 t=18779
dou niu bi 	都牛逼	c=1 d=1 t=14079
dou qu 	都去	c=1 d=1 t=17
dou shi 	都是	c=42 d=1.42178 t=29122
dou xie 	都寫	c=1 d=1 t=23256
dou yao 	都要	c=1 d=1 t=7445
dou yi yang 	都一樣	c=1 d=1 t=27264
dou yin 	抖音	c=2 d=1 t=21972
dou yin 	痘印	c=1 d=1 t=21971
dou ying gai 	都應該	c=1 d=1 t=27289
dou yong 	都用	c=7 d=1.37252 t=27307
dou you 	都有	c=6 d=1 t=24972
dou you le 	都有了	c=1 d=1 t=2380
dou zai 	都在	c=4 d=1.00191 t=25867
du 	堵	c=1 d=1 t=28680
du 	度	c=1 d=1 t=28073
du 	杜	c=2 d=1.01105 t=24601
du 	讀	c=2 d=0.1 t=29685
du ding 	篤定	c=1 d=1 t=26172
du jia wei 	杜佳偉	c=5 d=1 t=28405
du li 	獨立	c=11 d=1 t=28711
du li kai 	獨立開	c=1 d=1 t=11314
du xie 	讀寫	c=3 d=1.99005 t=13204
du ya li 	杜雅麗	c=1 d=1 t=507
du zi 	肚子	c=3 d=1 t=23992
duan 	斷	c=0 d=0.1 t=188
duan 	段	c=1 d=1 t=31334
duan 	短	c=1 d=1 t=3257
duan 	端	c=28 d=1.44044 t=30791
duan kai 	斷開	c=0 d=0.1 t=13670
duan kou 	端口	c=2 d=1 t=13273
duan wang 	斷網	c=1 d=1 t=8072
duan yan 	斷言	c=2 d=1.98511 t=13930
dui 	堆	c=0 d=0.1 t=11938
dui 	對	c=45 d=1.74663 t=30463
dui a 	對啊	c=3 d=1 t=22168
dui biao 	對標	c=2 d=1.7827 t=7690
dui biao 	對錶	c=1 d=1 t=7638
dui biao jia ge 	對標價格	c=1 d=1 t=3620
dui bu dui 	對不對	c=2 d=1 t=26521
dui bu qi 	對不起	c=4 d=1 t=29861
dui bu shang 	對不上	c=1 d=1 t=27711
dui de 	對的	c=1 d=1 t=23190
dui de shang 	對的上	c=1 d=1 t=18583
dui dui 	對對	c=0 d=0.1 t=25412
dui dui dui 	對對對	c=1 d=1 t=25413
dui hao 	對號	c=1 d=1 t=2128
dui hua 	對話	c=1 d=1 t=24126
dui huan 	兌換	c=6 d=1 t=25382
dui jie 	對接	c=15 d=1 t=26706
dui le 	對了	c=2 d=1 t=23920
dui lie 	隊列	c=5 d=1.00718 t=31391
dui ma dao 	對馬島	c=1 d=1 t=12533
dui mian 	對面	c=1 d=1 t=24065
dui qi 	對其	c=1 d=1 t=3675
dui ren jia 	對人家	c=1 d=1 t=646
dui shang 	對上	c=0 d=0.1 t=18591
dui shang le 	對上了	c=1 d=1 t=22382
dui shang ma 	對上嗎	c=1 d=1 t=18592
dui wo men 	對我們	c=3 d=1.00083 t=26534
dui xiang 	對象	c=1 d=1 t=6273
dui ying 	對應	c=8 d=1.00017 t=26959
dui ying de 	對應的	c=3 d=1 t=27903
dui yu 	對於	c=1 d=1 t=8161
dui zhan 	堆棧	c=2 d=1.00022 t=11769
dun 	燉	c=1 d=1 t=22787
dun zhe 	蹲着	c=0 d=0.1 t=29547
dun zhe yong 	蹲着用	c=1 d=1 t=29548
duo 	多	c=15 d=0.297899 t=31352
duo bu duo 	多不多	c=4 d=1 t=28462
duo chang 	多長	c=3 d=1.98592 t=25334
duo chang shi jian 	多長時間	c=1 d=1 t=25346
duo ci 	多次	c=1 d=1 t=22438
duo da 	多大	c=4 d=1.00106 t=31272
duo da le 	多大了	c=1 d=1 t=22931
duo de 	多的	c=2 d=1.63763 t=17688
duo fen 	多份	c=1 d=1 t=284
duo fen xiang 	多分享	c=1 d=1 t=1934
duo gao 	多搞	c=1 d=1 t=15661
duo ge 	多個	c=36 d=2.06745 t=31116
duo gu li 	多鼓勵	c=1 d=1 t=9859
duo huan jing 	多環境	c=1 d=1 t=920
duo jiu 	多久	c=4 d=1.03936 t=29591
duo le 	多了	c=3 d=1 t=30912
duo mo ban 	多模板	c=1 d=1 t=9557
duo nong dian 	多弄點	c=1 d=1 t=17683
duo ren 	多人	c=2 d=1 t=20407
duo shao 	多少	c=15 d=1.80252 t=31469
duo shao ge 	多少個	c=2 d=1.99005 t=28303
duo shao qian 	多少錢	c=4 d=1.50409 t=31228
duo shao ren 	多少人	c=1 d=1 t=24138
duo tiao 	多條	c=1 d=1 t=266
duo wei 	多維	c=1 d=1.09185 t=5328
duo wei fen xi 	多維分析	c=2 d=1 t=10340
duo yi zhang 	多一張	c=1 d=1 t=31353
duo yu 	多餘	c=1 d=1 t=27939
duo zhong 	多種	c=2 d=1.93239 t=13559
e 	餓	c=2 d=1.99005 t=13837
e huai le 	餓壞了	c=1 d=1 t=2397
e le 	餓了	c=1 d=1.00207 t=16028
e luo si 	俄羅斯	c=1 d=1 t=24719
e wai 	額外	c=3 d=1 t=12103
e xin 	噁心	c=1 d=0.1 t=26999
en 	恩	c=102 d=2.124 t=31052
en en 	嗯嗯	c=20 d=1.6942 t=25026
er 	二	c=2 d=1 t=11272
er bu shi 	而不是	c=1 d=1 t=991
er guang 	耳光	c=1 d=1 t=1403
er mian 	二麪	c=1 d=1 t=2426
er ming 	耳鳴	c=1 d=1 t=24943
er qie 	而且	c=4 d=1 t=6790
er shi duo 	二十多	c=0 d=0.1 t=27790
er shi duo ge 	二十多個	c=1 d=1 t=27791
er wei ma 	二維碼	c=4 d=1.00001 t=28821
fa 	發	c=24 d=1 t=26478
fa ba 	發吧	c=3 d=1.00022 t=12776
fa bu 	發佈	c=49 d=1.00115 t=30558
fa ce shi 	發測試	c=1 d=1 t=14457
fa chu lai 	發出來	c=6 d=1.00182 t=28508
fa chu qu 	發出去	c=1 d=1 t=17303
fa dao 	發到	c=1 d=1 t=21946
fa de 	發的	c=8 d=1 t=23069
fa ge 	發個	c=2 d=1 t=20456
fa gei 	發給	c=3 d=1 t=29540
fa guang 	發光	c=1 d=1 t=18967
fa guo 	法國	c=1 d=1 t=20795
fa guo 	發過	c=1 d=1 t=20796
fa guo lai 	發過來	c=1 d=1 t=27454
fa hui 	發揮	c=4 d=1 t=31267
fa huo 	發貨	c=2 d=1.1 t=14047
fa huo ri qi 	發貨日期	c=1 d=1 t=10727
fa huo shu liang 	發貨數量	c=2 d=1.00002 t=16175
fa jian li 	發簡歷	c=1 d=1 t=622
fa le 	發了	c=7 d=1 t=29428
fa le ma 	發了嗎	c=1 d=1 t=8499
fa le shen me 	發了什麼	c=1 d=1 t=12990
fa mei 	發沒	c=1 d=1 t=16784
fa ni 	發你	c=1 d=0.1 t=14120
fa ni le 	發你了	c=1 d=1 t=14121
fa san 	發散	c=1 d=1 t=28368
fa shang qu 	發上去	c=2 d=1 t=22768
fa sheng 	發生	c=7 d=1.06561 t=11850
fa sheng guo 	發生過	c=1 d=1 t=23377
fa sheng le 	發生了	c=1 d=1 t=6290
fa sheng shi 	發生時	c=1 d=1 t=11851
fa song 	發送	c=6 d=1.07808 t=15888
fa song gei 	發送給	c=1 d=1 t=19881
fa wan 	發完	c=3 d=1 t=22071
fa wan le 	發完了	c=3 d=1 t=24705
fa wo 	發我	c=15 d=1.44264 t=31481
fa wo yi xia 	發我一下	c=1 d=1 t=15786
fa wu 	法務	c=2 d=1.00018 t=5733
fa xian 	發現	c=22 d=1.0004 t=29593
fa xiao xi 	發消息	c=1 d=1 t=7885
fa yi ci 	發一次	c=1 d=1 t=20804
fa yi ge 	發一個	c=1 d=1 t=31421
fa yi xia 	發一下	c=16 d=1 t=28502
fa zhan 	發展	c=1 d=0.1 t=18949
fa zhan hao 	發展好	c=2 d=1.9802 t=18954
fan 	凡	c=1 d=1 t=6132
fan 	煩	c=1 d=1 t=28230
fan 	飯	c=2 d=1.06561 t=25404
fan chou 	範疇	c=1 d=1 t=24845
fan guo lai 	反過來	c=5 d=1.00263 t=15765
fan hui 	返回	c=20 d=1.02004 t=30367
fan hui zhi 	返回值	c=2 d=1.48191 t=10725
fan kui 	反饋	c=29 d=1.00094 t=22993
fan kui xi tong 	反饋系統	c=1 d=1 t=6964
fan le 	反了	c=0 d=0.1 t=30142
fan le 	翻了	c=0 d=0.1 t=98
fan si 	反思	c=2 d=1.82696 t=969
fan si le 	煩死了	c=1 d=1 t=26025
fan suo 	繁瑣	c=1 d=1 t=7956
fan ti 	繁體	c=2 d=1.99005 t=5
fan wei 	泛微	c=1 d=1 t=13799
fan wei 	範圍	c=4 d=1.41066 t=30080
fan xing 	反省	c=0 d=0.1 t=12317
fan yi 	翻譯	c=1 d=1 t=1496
