# Rime user dictionary
#@/db_name	sougou
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6400
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=9 d=0.00278899 t=6400
zui kuai 	最快	c=1 d=0.000403635 t=6400
zuo 	做	c=7 d=0.445418 t=6400
zuo cheng 	做成	c=3 d=0.23281 t=6400
zuo dao 	做到	c=3 d=0.350387 t=6400
zuo dao di 	做到底	c=1 d=0.0298969 t=6400
zuo de 	做的	c=1 d=7.59831e-05 t=6400
zuo ge 	做个	c=2 d=0.0439369 t=6400
zuo guo 	做过	c=1 d=0.0247235 t=6400
zuo le 	做了	c=2 d=9.67672e-12 t=6400
zuo tian 	昨天	c=8 d=8.07477e-07 t=6400
zuo ye 	作业	c=1 d=0.00098783 t=6400
zuo you 	左右	c=1 d=8.03339e-13 t=6400
